price,brand,type,condition,preserve,storage,result,display,camera,pin,ram,year
6000000.0,0,galaxy s21 fe,1,0,0.028432769776539024,0,0.0014216384888269514,0.0026655721665505335,0.99958956245645,0.001777048111033689,2022.0
6050000.0,1,iphone 11,1,0,0.020574212445334136,1,0.0019609796236959094,0.00385766483350015,0.9997781360154556,0.0012858882778333835,2019.0
13900000.0,1,iphone 12 pro max,1,0,0.060641687233474906,1,0.0018138361806441156,0.003248661816079013,0.9981513429902767,0.0016243309080395064,2020.0
7200000.0,1,iphone xs max,1,0,0.07039761042240386,0,0.0020427878024358265,0.003771300558343064,0.9975089976817404,0.0012571001861143545,2018.0
8000000.0,1,iphone 12,1,1,0.04542319419652072,1,0.0021646990984279407,0.004258424455923818,0.9989554036187956,0.0014194748186412726,2020.0
1800000.0,1,iphone x,0,0,0.023557227523812403,0,0.002134873744345499,0.004416980160714825,0.9997098430417888,0.0011042450401787063,2017.0
16600000.0,1,iphone 13 pro max,1,1,0.05140224054399862,0,0.0015374777305571018,0.002753691457714212,0.9986721019976875,0.001376845728857106,2021.0
2700000.0,1,iphone 7 plus,1,0,0.04409452048010744,0,0.0018946864268796165,0.004133861295010073,0.9990164796274341,0.0010334653237525182,2016.0
2000000.0,1,iphone xs max,0,0,0.020159530994408044,0,0.002047452366619567,0.0037799120614515082,0.999786740253924,0.0012599706871505027,2018.0
13500000.0,1,iphone 12 pro,1,0,0.034695383081468543,0,0.0018160864581706192,0.003252692163887676,0.9993896673544885,0.001626346081943838,2020.0
14500000.0,1,iphone 13 pro max,1,0,0.02939887721400921,0,0.0015388474791707947,0.0027561447388133632,0.9995618252763131,0.0013780723694066816,2021.0
5800000.0,0,galaxy s21,1,0,0.028432769776539024,0,0.0014216384888269514,0.0026655721665505335,0.99958956245645,0.001777048111033689,2022.0
4290000.0,0,galaxy a33,1,1,0.025591454285442232,1,0.0012795727142721116,0.0028990319307727525,0.9996661830250871,0.0015994658928401395,2022.0
650000.0,1,iphone 13 pro max,1,0,0.02939887721400921,0,0.0015388474791707947,0.0027561447388133632,0.9995618252763131,0.0013780723694066816,2021.0
1600000.0,1,iphone 7,1,0,0.016323993804236405,0,0.0023975865899972222,0.006121497676588652,0.9998446205094799,0.0010202496127647753,2016.0
2900000.0,1,iphone 8 plus,1,1,0.023775956310970733,0,0.0020432462454740476,0.004457991808307013,0.9997046630128475,0.0011144979520767533,2017.0
12990008.0,1,iphone 13,1,0,0.039475009280415786,0,0.0018812309110198145,0.0037007821200389797,0.9992111724105245,0.0012335940400129933,2021.0
2450000.0,0,galaxy a90,1,1,0.0345735094912605,0,0.0018097071374331667,0.003916530372056854,0.9993905087317487,0.0021608443432037812,2019.0
8999000.0,1,iphone 11 pro max,1,1,0.016122769079232966,1,0.0016374687346095982,0.0030230192023561813,0.999863601179307,0.0010076730674520604,2019.0
16500000.0,1,iphone 12 pro max,1,0,0.008678754495717186,0,0.0018171142225407858,0.003254532935893945,0.9999552445534146,0.0005424221559823241,2020.0
6700000.0,1,iphone 11,1,0,0.0411223226659669,0,0.001959735689549985,0.003855217749934397,0.9991439335246646,0.0012850725833114657,2019.0
950000.0,1,iphone 6s,1,0,0.009328770367479996,0,0.002740326295447249,0.006996577775609997,0.9999275737642621,0.0011660962959349995,2015.0
4500000.0,1,iphone 7 plus,0,0,0.07701115128316272,0,0.001890898803827656,0.004125597390169431,0.9970193692909459,0.0010313993475423579,2016.0
9000000.0,1,iphone 12,1,0,0.02272919004870303,0,0.0021663759265170075,0.004261723134131819,0.9997292185484224,0.0014205743780439394,2020.0
23990000.0,1,iphone 14 pro,1,0,0.05174604657522836,1,0.0015477612145269198,0.0033496324792000503,0.998652497074608,0.001386054818979331,2022.0
20500000.0,1,iphone 13 pro max,1,1,0.02939887721400921,0,0.0015388474791707947,0.0027561447388133632,0.9995618252763131,0.0013780723694066816,2021.0
12000000.0,1,iphone 11 pro max,1,0,0.016122769079232966,0,0.0016374687346095982,0.0030230192023561813,0.999863601179307,0.0010076730674520604,2019.0
18900000.0,1,iphone 13 pro max,1,1,0.05140224054399862,0,0.0015374777305571018,0.002753691457714212,0.9986721019976875,0.001376845728857106,2021.0
1500000.0,1,iphone 6s,0,0,0.009328770367479996,0,0.002740326295447249,0.006996577775609997,0.9999275737642621,0.0011660962959349995,2015.0
900000.0,0,galaxy a51,1,0,0.03198331256239017,0,0.0016241525910588757,0.0036231096262082613,0.9994785175746927,0.0019989570351493856,2019.0
5190000.0,0,galaxy s21,1,0,0.04971591692773501,1,0.0014204547693638576,0.002663352692557233,0.9987572597089623,0.001775568461704822,2022.0
1800000.0,0,galaxy s22 ultra,1,0,0.044754782256280407,0,0.0013586273184942265,0.0028970729585538653,0.9989906753634019,0.002097880418263144,2022.0
10990000.0,1,iphone 12 pro max,1,0,0.034695383081468543,0,0.0018160864581706192,0.003252692163887676,0.9993896673544885,0.001626346081943838,2020.0
11590000.0,0,galaxy s21 ultra,1,1,0.025591427928535773,1,0.001359544608703463,0.002899028945029443,0.9996651534584287,0.0020992968222627003,2021.0
3600000.0,0,galaxy note 9,1,0,0.03198337999699576,0,0.0015991689998497882,0.002998441874718353,0.9994806249061176,0.001998961249812235,2018.0
4200000.0,0,galaxy a72,1,0,0.04475482477692942,0,0.0013386487768099426,0.002897075711006592,0.9989916244850318,0.0015983865991760508,2021.0
4900000.0,1,iphone 11,1,0,0.020574212445334136,0,0.0019609796236959094,0.00385766483350015,0.9997781360154556,0.0012858882778333835,2019.0
